Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2016-06-09
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-06-30;17,5;
2016-07-31;18,9;
2016-08-31;20,5;
2016-09-30;23,1;
2016-10-31;24,1;
2016-11-30;22,8;
2016-12-31;23,2;
2017-01-31;24,5;
2017-02-28;23,1;
2017-03-31;22,9;
2017-04-30;22,1;
2017-05-31;20,1;
2017-06-30;18,8;
2017-07-31;16,6;
2017-08-31;19,8;
2017-09-30;21,1;
2017-10-31;24,7;
2017-11-30;22,6;
2017-12-31;23,7;
2018-01-31;23,9;
2018-02-28;23;
2018-03-31;23,4;
2018-04-30;21,2;
2018-05-31;18,8;
2018-06-30;19,1;
2018-07-31;18;
2018-08-31;19,8;
2018-09-30;22,1;
2018-10-31;23,8;
2018-11-30;22,4;
2018-12-31;23,5;
2019-01-31;24,8;
2019-02-28;24,3;
2019-03-31;23,6;
2019-04-30;22,8;
2019-05-31;20,8;
2019-06-30;18,4;
2019-07-31;17,2;
2019-08-31;20,3;
2019-09-30;23,3;
2019-10-31;24,8;
2019-11-30;24,5;
2019-12-31;23,6;
2020-01-31;24,2;
2020-02-29;23,5;
2020-03-31;22,7;
2020-04-30;22,3;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;18,9;
2020-09-30;22;
2020-10-31;null;
2020-11-30;null;
2020-12-31;23,8;
2021-01-31;23,7;
2021-02-28;22,6;
2021-03-31;23;
2021-04-30;21,2;
2021-05-31;19,9;
2021-06-30;18,8;
2021-07-31;null;
2021-08-31;null;
2021-09-30;23,9;
2021-10-31;23,5;
2021-11-30;22,3;
2021-12-31;22,5;
2022-01-31;23,3;
2022-02-28;22,6;
2022-03-31;23,7;
2022-04-30;22,8;
2022-05-31;18,3;
2022-06-30;17,7;
2022-07-31;17,5;
2022-08-31;19,6;
2022-09-30;21,9;
2022-10-31;23,8;
2022-11-30;21,7;
2022-12-31;22,3;
2023-01-31;22,5;
2023-02-28;23,8;
2023-03-31;23,7;
2023-04-30;22,2;
2023-05-31;19,1;
2023-06-30;17,4;
2023-07-31;18,4;
2023-08-31;20,2;
2023-09-30;23,8;
2023-10-31;25,1;
2023-11-30;null;
2023-12-31;24,7;
2024-01-31;24,2;
2024-02-29;23,7;
2024-03-31;24,4;
2024-04-30;23;
2024-05-31;21,1;
2024-06-30;18,5;
2024-07-31;18,2;
2024-08-31;19,9;
2024-09-30;24;
2024-10-31;24,5;
2024-11-30;22,7;
2024-12-31;22,7;
2025-01-31;23,6;
2025-02-28;24;
2025-03-31;24,1;
2025-04-30;22,6;
2025-05-31;19,7;
2025-06-30;18,7;
2025-07-31;17,8;

