Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2016-05-30
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-05-31;null;
2016-06-30;9,4;
2016-07-31;11,9;
2016-08-31;13;
2016-09-30;13,3;
2016-10-31;14,9;
2016-11-30;16,3;
2016-12-31;18,7;
2017-01-31;20,5;
2017-02-28;20,9;
2017-03-31;18,5;
2017-04-30;15,8;
2017-05-31;15,2;
2017-06-30;13,3;
2017-07-31;12,5;
2017-08-31;13,2;
2017-09-30;16,5;
2017-10-31;16,3;
2017-11-30;16,2;
2017-12-31;18,7;
2018-01-31;19,4;
2018-02-28;18,4;
2018-03-31;19,1;
2018-04-30;17,9;
2018-05-31;14,6;
2018-06-30;12,7;
2018-07-31;13,7;
2018-08-31;11,6;
2018-09-30;14,9;
2018-10-31;15,1;
2018-11-30;17;
2018-12-31;19,3;
2019-01-31;21,9;
2019-02-28;19;
2019-03-31;null;
2019-04-30;18;
2019-05-31;16,1;
2019-06-30;14,9;
2019-07-31;12,1;
2019-08-31;12,2;
2019-09-30;14,2;
2019-10-31;17,1;
2019-11-30;17,8;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;15;
2020-10-31;16,1;
2020-11-30;16,5;
2020-12-31;18,6;
2021-01-31;19,4;
2021-02-28;19,1;
2021-03-31;19,2;
2021-04-30;16,1;
2021-05-31;13,1;
2021-06-30;11,7;
2021-07-31;10,8;
2021-08-31;13,8;
2021-09-30;14,9;
2021-10-31;14,4;
2021-11-30;16,6;
2021-12-31;17,7;
2022-01-31;20,3;
2022-02-28;19,9;
2022-03-31;19;
2022-04-30;15,9;
2022-05-31;12,8;
2022-06-30;11,7;
2022-07-31;14,3;
2022-08-31;11,9;
2022-09-30;12,4;
2022-10-31;15,3;
2022-11-30;15,3;
2022-12-31;18,6;
2023-01-31;19,8;
2023-02-28;19,7;
2023-03-31;20;
2023-04-30;16,1;
2023-05-31;14,9;
2023-06-30;13,1;
2023-07-31;12,7;
2023-08-31;14,4;
2023-09-30;16;
2023-10-31;14,9;
2023-11-30;17,7;
2023-12-31;20,1;
2024-01-31;19,5;
2024-02-29;20,8;
2024-03-31;20;
2024-04-30;null;
2024-05-31;null;
2024-06-30;null;
2024-07-31;12,7;
2024-08-31;13,8;
2024-09-30;16,5;
2024-10-31;16,3;
2024-11-30;17,6;
2024-12-31;17,7;
2025-01-31;19,6;
2025-02-28;21,5;
2025-03-31;19,9;
2025-04-30;16,4;
2025-05-31;15;
2025-06-30;11,7;
2025-07-31;10,8;

