Nome: CACERES
Codigo Estacao: 83405
Latitude: -16.04972221
Longitude: -57.68083332
Altitude: 118
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2014-07-02
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;27,4;
2004-02-29;26,9;
2004-03-31;27,4;
2004-04-30;26,8;
2004-05-31;21,8;
2004-06-30;22,9;
2004-07-31;22,2;
2004-08-31;24,3;
2004-09-30;27;
2004-10-31;28,1;
2004-11-30;27,2;
2004-12-31;28,2;
2005-01-31;27,1;
2005-02-28;27,2;
2005-03-31;27,1;
2005-04-30;26,2;
2005-05-31;26;
2005-06-30;25,2;
2005-07-31;23,8;
2005-08-31;25,2;
2005-09-30;24,8;
2005-10-31;28;
2005-11-30;28;
2005-12-31;27,7;
2006-01-31;27,3;
2006-02-28;27,2;
2006-03-31;27,3;
2006-04-30;26,7;
2006-05-31;22,8;
2006-06-30;25,3;
2006-07-31;23,9;
2006-08-31;26,1;
2006-09-30;26,5;
2006-10-31;27,4;
2006-11-30;28,3;
2006-12-31;27,6;
2007-01-31;27,6;
2007-02-28;27,5;
2007-03-31;27,7;
2007-04-30;27,4;
2007-05-31;23,7;
2007-06-30;24,1;
2007-07-31;23,3;
2007-08-31;23,9;
2007-09-30;27,8;
2007-10-31;27,7;
2007-11-30;26,8;
2007-12-31;27,5;
2008-01-31;26,6;
2008-02-29;26,7;
2008-03-31;25,9;
2008-04-30;25,1;
2008-05-31;22,9;
2008-06-30;22,5;
2008-07-31;23,3;
2008-08-31;25,8;
2008-09-30;25,8;
2008-10-31;27,8;
2008-11-30;28,1;
2008-12-31;27,5;
2009-01-31;26,9;
2009-02-28;27,2;
2009-03-31;26,9;
2009-04-30;26,8;
2009-05-31;25,7;
2009-06-30;22,8;
2009-07-31;22,8;
2009-08-31;25,4;
2009-09-30;25,5;
2009-10-31;null;
2009-11-30;28,2;
2009-12-31;27,2;
2010-01-31;27;
2010-02-28;26,9;
2010-03-31;27,7;
2010-04-30;26,5;
2010-05-31;23,2;
2010-06-30;24,1;
2010-07-31;21,4;
2010-08-31;24,4;
2010-09-30;27,9;
2010-10-31;27,3;
2010-11-30;26,8;
2010-12-31;27,4;
2011-01-31;26,7;
2011-02-28;26,4;
2011-03-31;26,4;
2011-04-30;27,1;
2011-05-31;24,2;
2011-06-30;23,3;
2011-07-31;23,8;
2011-08-31;24,8;
2011-09-30;27,4;
2011-10-31;27,7;
2011-11-30;28,3;
2011-12-31;27,8;
2012-01-31;null;
2012-02-29;26,8;
2012-03-31;26,4;
2012-04-30;26,4;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;25,8;
2012-09-30;27,7;
2012-10-31;28,3;
2012-11-30;27,5;
2012-12-31;27,4;
2013-01-31;27,4;
2013-02-28;null;
2013-03-31;27,1;
2013-04-30;26;
2013-05-31;25;
2013-06-30;25,5;
2013-07-31;null;
2013-08-31;23,7;
2013-09-30;26,9;
2013-10-31;27,2;
2013-11-30;27,4;
2013-12-31;27,4;
2014-01-31;null;
2014-02-28;26;
2014-03-31;26,7;
2014-04-30;26,3;
2014-05-31;24,3;
2014-06-30;24,1;
2014-07-31;null;

