Nome: PONTA PORA
Codigo Estacao: 83702
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25,2;
2004-02-29;24,4;
2004-03-31;24,7;
2004-04-30;22,8;
2004-05-31;15,7;
2004-06-30;16,7;
2004-07-31;16;
2004-08-31;18,5;
2004-09-30;22,2;
2004-10-31;22,2;
2004-11-30;22,6;
2004-12-31;24,4;
2005-01-31;24,2;
2005-02-28;25,1;
2005-03-31;24,9;
2005-04-30;22,9;
2005-05-31;20,1;
2005-06-30;19,4;
2005-07-31;15,4;
2005-08-31;19,8;
2005-09-30;16,5;
2005-10-31;22,1;
2005-11-30;23,2;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;24,7;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;23,6;
2007-10-31;24,2;
2007-11-30;23,5;
2007-12-31;24,7;
2008-01-31;24,2;
2008-02-29;24;
2008-03-31;24;
2008-04-30;21,7;
2008-05-31;17,5;
2008-06-30;15,9;
2008-07-31;19,6;
2008-08-31;20,1;
2008-09-30;18,9;
2008-10-31;23,2;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;24,4;
2009-03-31;24,6;
2009-04-30;23,8;
2009-05-31;19,8;
2009-06-30;15,6;
2009-07-31;16,2;
2009-08-31;18,4;
2009-09-30;19,2;
2009-10-31;22,6;
2009-11-30;25,8;
2009-12-31;24,5;
2010-01-31;24,5;
2010-02-28;25,1;
2010-03-31;24,8;
2010-04-30;21,7;
2010-05-31;16,6;
2010-06-30;18,3;
2010-07-31;15,9;
2010-08-31;18,5;
2010-09-30;20,6;
2010-10-31;20,9;
2010-11-30;22,4;
2010-12-31;24,8;
2011-01-31;24,8;
2011-02-28;24,1;
2011-03-31;23,4;
2011-04-30;22,1;
2011-05-31;18,4;
2011-06-30;16,3;
2011-07-31;18;
2011-08-31;18,8;
2011-09-30;21,2;
2011-10-31;22,9;
2011-11-30;23,2;
2011-12-31;25;
2012-01-31;25,1;
2012-02-29;24,8;
2012-03-31;23,7;
2012-04-30;21,6;
2012-05-31;19,1;
2012-06-30;17;
2012-07-31;16,9;
2012-08-31;20,3;
2012-09-30;22,7;
2012-10-31;24,1;
2012-11-30;24,6;
2012-12-31;25,7;
2013-01-31;25;
2013-02-28;24,7;
2013-03-31;23,9;
2013-04-30;20,7;
2013-05-31;19,4;
2013-06-30;17,9;
2013-07-31;19,4;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;

