Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;27,7;
2004-02-29;27,9;
2004-03-31;28,4;
2004-04-30;28,5;
2004-05-31;28,1;
2004-06-30;26,8;
2004-07-31;27;
2004-08-31;27,5;
2004-09-30;27,7;
2004-10-31;27,8;
2004-11-30;28;
2004-12-31;27,9;
2005-01-31;28,4;
2005-02-28;28,9;
2005-03-31;28,7;
2005-04-30;28,9;
2005-05-31;28;
2005-06-30;27,1;
2005-07-31;27,4;
2005-08-31;27,2;
2005-09-30;27,4;
2005-10-31;28;
2005-11-30;28,4;
2005-12-31;28,7;
2006-01-31;28,8;
2006-02-28;28,4;
2006-03-31;28,6;
2006-04-30;27,9;
2006-05-31;28;
2006-06-30;27,4;
2006-07-31;27,3;
2006-08-31;27,3;
2006-09-30;27,7;
2006-10-31;28;
2006-11-30;28;
2006-12-31;28,4;
2007-01-31;28,6;
2007-02-28;28,6;
2007-03-31;28,5;
2007-04-30;28,6;
2007-05-31;28,3;
2007-06-30;27,5;
2007-07-31;27,1;
2007-08-31;27,1;
2007-09-30;27,4;
2007-10-31;27,7;
2007-11-30;28;
2007-12-31;28,2;
2008-01-31;28,5;
2008-02-29;28,8;
2008-03-31;27,9;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;28,5;
2011-01-31;27,9;
2011-02-28;28,1;
2011-03-31;27,7;
2011-04-30;27,4;
2011-05-31;27,2;
2011-06-30;27,1;
2011-07-31;26,6;
2011-08-31;27,4;
2011-09-30;28;
2011-10-31;28,2;
2011-11-30;28,2;
2011-12-31;28;
2012-01-31;28,1;
2012-02-29;27,7;
2012-03-31;27,9;
2012-04-30;28,4;
2012-05-31;28;
2012-06-30;27,4;
2012-07-31;27,5;
2012-08-31;null;
2012-09-30;27,5;
2012-10-31;27,9;
2012-11-30;27,6;
2012-12-31;28,6;
2013-01-31;28,9;
2013-02-28;29,5;
2013-03-31;29,3;
2013-04-30;28,9;
2013-05-31;28,5;
2013-06-30;27,3;
2013-07-31;26,7;
2013-08-31;27,7;
2013-09-30;27,9;
2013-10-31;28,3;
2013-11-30;28,3;
2013-12-31;28,1;
2014-01-31;28,6;
2014-02-28;28,3;
2014-03-31;28,6;
2014-04-30;28,5;
2014-05-31;27,9;
2014-06-30;27,4;
2014-07-31;27,1;
2014-08-31;27,8;
2014-09-30;27,8;
2014-10-31;28,5;
2014-11-30;27,8;
2014-12-31;28,2;
2015-01-31;null;
2015-02-28;28,5;
2015-03-31;27,7;
2015-04-30;28,1;
2015-05-31;28,6;
2015-06-30;28;
2015-07-31;27,4;
2015-08-31;27,7;
2015-09-30;28,4;
2015-10-31;28,6;
2015-11-30;28,6;
2015-12-31;28,7;
2016-01-31;27,9;
2016-02-29;null;
2016-03-31;28,8;
2016-04-30;28,8;
2016-05-31;28,9;
2016-06-30;28,2;
2016-07-31;28,6;
2016-08-31;28,7;
2016-09-30;28,8;
2016-10-31;29,1;
2016-11-30;29,5;
2016-12-31;29,3;
2017-01-31;29,3;
2017-02-28;null;
2017-03-31;28,3;
2017-04-30;28,6;
2017-05-31;28,5;
2017-06-30;28,4;
2017-07-31;27,5;
2017-08-31;28,2;
2017-09-30;28,6;
2017-10-31;29;
2017-11-30;28,8;
2017-12-31;29,1;
2018-01-31;29,1;
2018-02-28;null;
2018-03-31;28,5;
2018-04-30;27,8;
2018-05-31;27,6;
2018-06-30;27,9;
2018-07-31;27,6;

