Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: 83953
Latitude: -30.842617
Longitude: -55.613073
Altitude: 328.22
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2013-12-16
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;24;
2004-02-29;22,1;
2004-03-31;21,5;
2004-04-30;19,7;
2004-05-31;12,8;
2004-06-30;13,3;
2004-07-31;11,3;
2004-08-31;13,8;
2004-09-30;15,7;
2004-10-31;16,6;
2004-11-30;18,9;
2004-12-31;22,2;
2005-01-31;24,6;
2005-02-28;23,3;
2005-03-31;21,9;
2005-04-30;16,8;
2005-05-31;15,5;
2005-06-30;15,5;
2005-07-31;12,2;
2005-08-31;13,6;
2005-09-30;12,8;
2005-10-31;16,2;
2005-11-30;21;
2005-12-31;21,6;
2006-01-31;24,5;
2006-02-28;24;
2006-03-31;22,9;
2006-04-30;18,7;
2006-05-31;13;
2006-06-30;13,1;
2006-07-31;14,7;
2006-08-31;12,4;
2006-09-30;13,7;
2006-10-31;18,9;
2006-11-30;19,7;
2006-12-31;23,3;
2007-01-31;23,8;
2007-02-28;23,1;
2007-03-31;21,4;
2007-04-30;19,2;
2007-05-31;11,5;
2007-06-30;11,3;
2007-07-31;8,5;
2007-08-31;10,1;
2007-09-30;16,7;
2007-10-31;18,2;
2007-11-30;19,1;
2007-12-31;22,5;
2008-01-31;23,5;
2008-02-29;23,2;
2008-03-31;21,9;
2008-04-30;18,7;
2008-05-31;14,2;
2008-06-30;10,7;
2008-07-31;14,3;
2008-08-31;12,6;
2008-09-30;12,9;
2008-10-31;17,5;
2008-11-30;21,8;
2008-12-31;23;
2009-01-31;24,1;
2009-02-28;23,5;
2009-03-31;21,8;
2009-04-30;18,7;
2009-05-31;15,2;
2009-06-30;9,5;
2009-07-31;9;
2009-08-31;14,2;
2009-09-30;13,3;
2009-10-31;16,9;
2009-11-30;20,8;
2009-12-31;21,7;
2010-01-31;23,4;
2010-02-28;23,1;
2010-03-31;21,8;
2010-04-30;17,1;
2010-05-31;14,3;
2010-06-30;12,1;
2010-07-31;10,9;
2010-08-31;11,6;
2010-09-30;14,4;
2010-10-31;16,2;
2010-11-30;19,7;
2010-12-31;23,7;
2011-01-31;25;
2011-02-28;22,8;
2011-03-31;21;
2011-04-30;18,5;
2011-05-31;13,8;
2011-06-30;11,2;
2011-07-31;10,4;
2011-08-31;11,7;
2011-09-30;14,7;
2011-10-31;16,8;
2011-11-30;20,5;
2011-12-31;21,4;
2012-01-31;24,6;
2012-02-29;23,9;
2012-03-31;21,3;
2012-04-30;17,3;
2012-05-31;16,4;
2012-06-30;12,2;
2012-07-31;9,5;
2012-08-31;15,8;
2012-09-30;15,4;
2012-10-31;18,2;
2012-11-30;21,5;
2012-12-31;23,1;
2013-01-31;21,9;
2013-02-28;22;
2013-03-31;18,9;
2013-04-30;17,8;
2013-05-31;13,5;
2013-06-30;12,1;
2013-07-31;11,6;
2013-08-31;10,9;
2013-09-30;14,6;
2013-10-31;17,4;
2013-11-30;20,1;
2013-12-31;22,8;

